"filename", "language", "Python", "HTML", "pip requirements", "CSS", "Database", "JavaScript", "YAML", "comment", "blank", "total"
"c:\data\Gp_workplace\main\src\social\main\notifications.py", "Python", 42, 0, 0, 0, 0, 0, 0, 32, 6, 80
"c:\data\Gp_workplace\main\src\social\main\page_group.py", "Python", 222, 0, 0, 0, 0, 0, 0, 61, 29, 312
"c:\data\Gp_workplace\main\src\social\main\post_comment.py", "Python", 250, 0, 0, 0, 0, 0, 0, 52, 25, 327
"c:\data\Gp_workplace\main\src\social\main\relations.py", "Python", 392, 0, 0, 0, 0, 0, 0, 47, 36, 475
"c:\data\Gp_workplace\main\src\social\main\templates\main\chat.html", "HTML", 0, 301, 0, 0, 0, 0, 0, 6, 17, 324
"c:\data\Gp_workplace\main\src\social\main\templates\main\comment.html", "HTML", 0, 51, 0, 0, 0, 0, 0, 3, 4, 58
"c:\data\Gp_workplace\main\src\social\main\templates\main\display_post - Copy.html", "HTML", 0, 550, 0, 0, 0, 0, 0, 16, 54, 620
"c:\data\Gp_workplace\main\src\social\main\templates\main\display_post.html", "HTML", 0, 554, 0, 0, 0, 0, 0, 15, 49, 618
"c:\data\Gp_workplace\main\src\social\main\templates\main\forgetpassword.html", "HTML", 0, 194, 0, 0, 0, 0, 0, 11, 32, 237
"c:\data\Gp_workplace\main\src\social\main\templates\main\friend.html", "HTML", 0, 52, 0, 0, 0, 0, 0, 2, 6, 60
"c:\data\Gp_workplace\main\src\social\main\templates\main\friends.html", "HTML", 0, 171, 0, 0, 0, 0, 0, 4, 7, 182
"c:\data\Gp_workplace\main\src\social\main\templates\main\good_html.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\main\templates\main\group.html", "HTML", 0, 530, 0, 0, 0, 0, 0, 16, 37, 583
"c:\data\Gp_workplace\main\src\social\main\templates\main\grouppost.html", "HTML", 0, 79, 0, 0, 0, 0, 0, 3, 7, 89
"c:\data\Gp_workplace\main\src\social\main\templates\main\groupsettings.html", "HTML", 0, 549, 0, 0, 0, 0, 0, 26, 30, 605
"c:\data\Gp_workplace\main\src\social\main\templates\main\main.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
